Timestamp,CPU %,Available Memory (MB),Disk Read (MB/sec),Disk Write (MB/sec),Network Received (MB/sec),Network Sent (MB/sec)
2024-03-07 13:38:06,0.0,17753.72,84654.49,104870.87,14279.92,585.4
2024-03-07 13:38:11,0.8,17758.74,84654.49,104871.24,14280.89,585.42
2024-03-07 13:38:16,0.8,17738.69,84654.66,104872.02,14281.83,585.44
2024-03-07 13:38:21,1.0,17754.18,84654.66,104872.39,14282.88,585.47
2024-03-07 13:38:26,1.0,17729.92,84654.7,104873.15,14283.87,585.53
2024-03-07 13:38:31,1.5,17708.0,84654.77,104873.81,14284.83,585.56
2024-03-07 13:38:36,0.7,17679.03,84655.03,104875.38,14285.76,585.59
2024-03-07 13:38:41,1.1,17756.25,84655.06,104875.94,14286.72,585.62
